OrganizationName,Spend,Impressions,Currency Codes,BillingAddresses,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,Regions (Included),Regions (Excluded),Interests,CreativeUrls
Human Agency,210,60557,USD,US,,Cort VanOstran for Congress,FEMALE,18-30,united states,,,,https://www.snap.com/political-ads/asset/a9d5838e78cafe788805212bd9d43d6552b47c4e0081798be3c5945f46a711ab?mediaType=mp4
Norsk Studentorganisasjon,200,249707,EUR,NO,,Norsk Studentorganisasjon,,,norway,,,,https://www.snap.com/political-ads/asset/779b8a38b53caf94e1d5c2259e7ce808b02661c95b2059a2dd8ce1c01d2b745a?mediaType=png
FP1 Strategies,189,17428,USD,"3001 Washington Blvd,Arlington,22201,US",,Knute for Governor,,,united states,Oregon,,,https://www.snap.com/political-ads/asset/d423e03ee52f0e25d391785f870ba96bbc9a326711de0c044cb164fa4c6bc029?mediaType=mp4
Melissa Moore 4 MN House,184,85008,USD,US,,Melissa Moore4MNHouse Committee,,18+,united states,,,"Baseball Fans,Beer Drinkers,College Football Fans,Country Music Fans,Fashion & Style Gurus,Fitness Enthusiasts,Golfers,Hockey Fans,Liquor & Spirits Drinkers,Luxury Shoppers,Political News Watchers,Snow Sport Enthusiasts",https://www.snap.com/political-ads/asset/10b5bdd641f4895000379265f7a281ea6219436019eca1c830363a02f9d97b03?mediaType=png
Colton Zaugg for State Legislature,169,35147,USD,US,,Colton Zaugg,,18+,united states,,,,https://www.snap.com/political-ads/asset/0ae1f0b52bb51e690a4747cbbd204e94c1df4c6893a7411a3ec060250199041a?mediaType=png
Murtaugh for Congress,111,51966,USD,US,,Murtaugh for Congress,,18+,united states,,,"News Watchers,Political News Watchers,ZZ_Deprecated_1",https://www.snap.com/political-ads/asset/2eac55101f31c01631c32b806bd8e9457ff2aec2c3710bdb58ba367827878c56?mediaType=mp4
Gorran Election Campaign,102,98863,USD,US,,Paid for by Balen Isamel,,18+,iraq,"Al Sulaymaniyah,Arbil,Dahouk",,,https://www.snap.com/political-ads/asset/2bb014b90f97b1c02fe2ad537d544c573b20d37ca9c93ff66b26b0a4fcdf13b3?mediaType=mp4
Nadia Ghisolfi,101,91043,EUR,"in cimalloco 52,Gudo,6515,CH",,Nadia Ghisolfi,,18+,switzerland,,,,https://www.snap.com/political-ads/asset/97d0a008a95a50f7a4936ea45d698e42f4f9f1cc3d069b4ed28e97e814aeea21?mediaType=png
Research Triangle Student Advocacy,81,36069,USD,US,,ResTri Student Advocacy,FEMALE,18-34,united states,,,,https://www.snap.com/political-ads/asset/bfd2df6e0aa397d5b9cfc7514b52501920ee772bfa2cdac0d6e5a1e8b46535cc?mediaType=mp4
Chuck Clemons for Florida House District 21,66,22167,USD,US,,Chuck Clemons for FL House,,17+,united states,,,,https://www.snap.com/political-ads/asset/9f3e235a5a11a8165885a1d3bd685d9a297164af25388d0aacda9a092d058f30?mediaType=mp4
Rising Tide Interactive LLC,63,839,USD,"1250 H St. NW,Washington,20005,US",,Texas Democratic Party,,18-34,united states,,,,https://www.snap.com/political-ads/asset/93441543259c711affbe0dd1383c719f8b3e02a9466c55b16e1abafbcd2d80e5?mediaType=mp4
The Foundation for Individual Rights in Education,58,18331,USD,US,,THEFIRE.ORG,,17-25,united states,,,,https://www.snap.com/political-ads/asset/847887e56f3e718d18b78028c4aaaf8d603593efe5a058a131c8f878c3a318b1?mediaType=mp4
Grit Media,58,21238,EUR,"Storgatan 28C,Umeå,90321,SE",,Rättvisepartiet Socialisterna,,18+,sweden,,,,https://www.snap.com/political-ads/asset/8d496da75c2471061a8a9280b32c5629810963dd43f7d2bbf8c193d23ad1de29?mediaType=jpg
Digital Conversion,47,24629,GBP,GB,,West Sussex CC,,17-24,united kingdom,"East Sussex,West Sussex",,,https://www.snap.com/political-ads/asset/f4abec56c84fded324b239a653a3b9183c5546c4a49873f2cbca1c9ebafa98ab?mediaType=jpg
The Committee to Elect Kyle Cooper,30,7309,USD,US,,Committee to Elect Kyle Cooper,,18+,united states,,,"Political News Watchers,Home Movie Viewers (Documentary),TV Network Viewers (CNN),TV Network Viewers (MSNBC),TV Network Viewers (PBS),TV Network Viewers (The CW),TV Viewers (Documentary),TV Viewers (Educational),TV Viewers (News),ZZ_Deprecated_1",https://www.snap.com/political-ads/asset/6f90773a446d23acdbdbe9655a6c05aac14bd16b60c3787a948b55f3f70265cc?mediaType=mp4
Dave Creek Media,15,6616,USD,"1320 Oak Street,Conway,72034,US",,LobbyUp,,18-24,united states,Arkansas,,,https://www.snap.com/political-ads/asset/ee4a39e2a42c1e9d79d6dfbdce4a0642b95345f4861ec2122d3f4aed4517ee32?mediaType=mp4
William Bolton for Senate,11,4821,USD,US,,Bill Bolton for Senate,,18-23,united states,,,,https://www.snap.com/political-ads/asset/b31c159564704b62cb90c255638839ec40d293fc41bba900f8eb4c6524af8d5f?mediaType=mp4
Congressional Leadership Fund,8,6249,USD,"1747 Pennsylvania Ave NW,Washington,20006,US",,Congressional Leadership Fund,,,united states,,,"Collegiates,Investors & Entrepreneurs,Country Music Fans,Political News Watchers,TV Network Viewers (CMT),TV Network Viewers (CNN),ZZ_Deprecated_1",https://www.snap.com/political-ads/asset/4e41590afe90c38e774a05d1de39376c395596c2c096093ba63139ddf4034be7?mediaType=mp4
Friends of Jenn Alford-Teaster,7,3094,USD,US,,Friends of Jenn Alford-Teaster,,,united states,,,,https://www.snap.com/political-ads/asset/97aa87f3629e506b7469ce44119a101f5ad8f505aed4a8c993bb598e0173ab65?mediaType=mp4
OrganizationName,0,0,Currency Code,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Interests,CreativeUrl
