OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,CreativeUrls,Interests,Regions (Included),Regions (Excluded)
Bucket Media Inc.,158,13776,USD,,MO Dept. of Social Services,FEMALE,16-34,united states,"1123 Wilkes Blvd. Suite 400,Columbia,65201,US",https://www.snap.com/political-ads/asset/a7ad5378f0209673332b36f2113c6b1168362284dbecfbc13dc490d5440944a9?mediaType=mp4,,,Arkansas
Friends of Andrew Yang,155,15929,USD,Andrew Yang,Friends of Andrew Yang,,17+,united states,US,https://www.snap.com/political-ads/asset/ad009d637d3c0ad21877e48aeb9c311927baf542153fec7098be320fbe0dae8b?mediaType=png,,Iowa,
Lidingö stad,142,36958,EUR,,Lidingö stad,,17-,sweden,SE,https://www.snap.com/political-ads/asset/9f01a236b506b3453a75dd439f3d70644205e9740dc4a70567792515825dbc93?mediaType=jpg,,,
Groundwork,123,180665,GBP,Groundwork Greater Manchester,Groundwork,,18-,united kingdom,"Trafford Ecology Park,Manchester,M17 1TU,GB",https://www.snap.com/political-ads/asset/570c1754d1ebf5205eda635ed29969c74ede2e8d41f1812081d8a739f3bb121b?mediaType=mp4,,Manchester,
Miller Advertising Agency  Inc.,107,55183,USD,Early Voting - Presidential Primary,NYC Board of Elections,,18+,united states,"220 West 42nd Street,New York,10003,US",https://www.snap.com/political-ads/asset/2a3882e80b4b22576fb6d0b37a6953ae5a51ed6f4c95e105f5d01661dcfcd671?mediaType=mp4,"Advocates & Activists,News Watchers,TV Viewers (News)",,
Fourth World Problems Co.,102,36737,USD,,Unicorn Wealth,MALE,35+,united states,US,https://www.snap.com/political-ads/asset/25ed804471bcfb217faedd5f6d3e9299b1e3fbf4ed4dc29ab1cfd5ee0c563eed?mediaType=mp4,,,
OKVote,100,66172,USD,,OKVote,FEMALE,18-24,united states,US,https://www.snap.com/political-ads/asset/1944062e5e392dc6bcce28edad94639385c75823efea03712ca8c6b31ef01af0?mediaType=png,,Oklahoma,
KalamarosKilboy,85,94915,USD,,YearnForTheBern,,16-30,united states,"4232 Greenwood Dr.,Benton Harbor,49022,US",https://www.snap.com/political-ads/asset/f41037a6220fa643c1ffd5b0345aab2da0406fa2c538c092aea95d76e5ea9f86?mediaType=mp4,"Advocates & Activists,Arts & Culture Mavens,Beachgoers & Surfers,Collegiates,Men's Lifestyle,Celebrity News Watchers,Political News Watchers,Philanthropists,Online Shoppers,Women's Lifestyle","California,Colorado,Nevada,New Mexico,New York,Illinois,Massachusetts,Oregon,Michigan,Washington,Texas,Florida",
League of Women of Voters of the Fairfax Area,79,50202,USD,League of Women Voters Fairfax,League of Women Voters Fairfax,,17-19,united states,"4026B Hummer Road,ANNANDALE,22003-2403,US",https://www.snap.com/political-ads/asset/3e80ff23ab638671399ebfbc89c325f655d243bffa83617080f0ab0c9a70472c?mediaType=jpeg,,,
RxB Marketing Agency,78,52671,USD,,Unicorn Wealth,,21+,united states,"4850 Libby Court,North Port,34287,US",https://www.snap.com/political-ads/asset/d0e84a15ef7a8fb4627e53768821de4153e8e198a9332a303e2b0a1a41f068dd?mediaType=png,,,
Regina Doherty TD,65,35988,EUR,Regina Doherty TD,Regina Doherty TD,,18+,ireland,IE,https://www.snap.com/political-ads/asset/ccc570102edfcc0e27b321417041ede3c64714e00e805df9fd9587b718b63f83?mediaType=mp4;https://www.snap.com/political-ads/asset/953bdbc0ef382389f6efa5d2bcf3e7ad8a3349fbba073fa001401f2f9e37d9a4?mediaType=mp4;https://www.snap.com/political-ads/asset/b58044e854bc928c5f24e425791a4a474aa8a378b9a771b78e4c9b4849bb6a1e?mediaType=mp4;https://www.snap.com/political-ads/asset/b948f95962b6651cbe42083db61b47bdf758138b39bbc6f14f6df01e2e640dac?mediaType=mp4,,,
Serenus Blankets,50,43576,USD,Donald Trump,Trump Merch Store,,15+,united states,US,https://www.snap.com/political-ads/asset/ef4f5d65f8569b121960a45cb9868c50fe26acbc8fc1ca76f1dfe0471a5503db?mediaType=png,"TV Network Viewers (FOX News Channel),TV Network Viewers (FOX)","Idaho,Utah,Arizona,Wyoming,North Dakota,South Dakota,Kansas,Oklahoma,Texas,Iowa,Missouri,Arkansas,Indiana,Tennessee,Mississippi,Ohio,Alabama,West Virginia,South Carolina,Georgia,Florida",
Niall Collins TD,50,92143,EUR,,Niall Collins TD,,,ireland,"Redhouse Hill,Patrickswell,V94KWN6,IE",https://www.snap.com/political-ads/asset/f2a3c66c2d87c9fa567c046b732d2f3aee7df3ea757ea5939083fc35edc16905?mediaType=mp4,,Limerick,
TeeLiberty,43,20292,USD,,TeeLiberty,,23+,united states,US,https://www.snap.com/political-ads/asset/baeb6c6eb4916c5f488ab50ceae5c70c653786a7dc3c7f928b1bd76e599c20a8?mediaType=mp4,"Sci-fi & Fantasy Fans,Math & Science Enthusiasts,TV Viewers (Science Fiction & Fantasy)",,
Entremax,39,44752,USD,Trump 2020,Entremax Inc.,,,united states,US,https://www.snap.com/political-ads/asset/599d14e900b7fc0e292348eb588f0495e3ccfe1fc5438e5f4dfee91b5af38231?mediaType=mp4,,,
GoTrump 2020,38,19330,USD,Donald J Trump,GoTrump 2020,MALE,35+,united states,US,https://www.snap.com/political-ads/asset/c7ce990d75168491edaa1305a10abcebde8e04192cadd7b94ec19817e29cec0c?mediaType=mp4,Political News Watchers,"California,New York",
Commando Designs,38,62427,USD,,Commando Designs,,30+,united states,"101 SUMMER ST, 2,Biddeford,04005,US",https://www.snap.com/political-ads/asset/aab80b660a28e3fbe9e83c8d77e5f98b1682a4bdfd99c6b6c5c4ff515cbc4870?mediaType=png;https://www.snap.com/political-ads/asset/e234a47ef10db220ea0d34564f1522343ffeed76607b3f849b2e34d633e8a762?mediaType=png;https://www.snap.com/political-ads/asset/51fa79be5ed8f15c21e1d0dc1e319cafcc77d8552e7f99fa43fef1bad39d24e1?mediaType=png;https://www.snap.com/political-ads/asset/257158f0e3b6f30571d6bb85984273022d3e11a1e4b24a5fbbaf2b02daeaad68?mediaType=png;https://www.snap.com/political-ads/asset/61971a4b182aaf87b7438d595c97ffaff7082226d1537a62bff9ebd2e7a4e247?mediaType=png;https://www.snap.com/political-ads/asset/ac5733f201529bc57dec4b4335c3629ac2edf1f3854a3e13902d61bbdfc2ca14?mediaType=png;https://www.snap.com/political-ads/asset/35db0cead35cb3ecab3e8112efd3d66866a0d4d2eded0e202784e0a39b286e88?mediaType=png,"Political News Watchers,TV Network Viewers (FOX News Channel)",,
Elect Lobdell Commissioner,38,17744,USD,,Elect Lobdell Commissioner,,18+,united states,US,https://www.snap.com/political-ads/asset/19ab9073244e3656d353c43289eaca3c62a9b3d774c8a1a204b61f5691c18dfe?mediaType=jpeg,,,
GRASP  Inc.,36,28668,USD,T Dan Baker,T Dan Baker,,17-25,united states,"11802 LONE TREE CT,COLUMBIA,21044,US",https://www.snap.com/political-ads/asset/322fc8fb91981b2b41dfcf9f39619f7b2c4b22117b81822773f67d2d83bba151?mediaType=mp4,,,
Spotlight Media  LLC,32,21948,USD,Trump,Spotlight Media,MALE,25+,united states,"4763 Pescadero Ave,San Diego,92107,US",https://www.snap.com/political-ads/asset/7329f73675376b61151103aec59666be49b44c5d602d329b228ffbffbcc1e31e?mediaType=mp4,,,
Invitucs LLP,31,19729,USD,Aaron Godfrey for Congress,Aaron Godfrey for Congress,,18+,united states,US,https://www.snap.com/political-ads/asset/b17fca4c99fc847e9758ca153761480f4cdbf0f0a34984dee49ebc0d5265508a?mediaType=mp4,,,
Clear Sight Digital,31,16459,USD,,Clear Sight Digital LLC,,18+,united states,"555 East 5th Street,Austin,78701,US",https://www.snap.com/political-ads/asset/eb964d02c3af73bbc897b3c7ab6e0033c50f6f90e81079f4b3542953bd429014?mediaType=jpeg,,,
The GOP Store,20,20033,USD,Republican Retail Store,The GOP Store,,,united states,"5205 18th Place,Lubbock,79416,US",https://www.snap.com/political-ads/asset/4aaa2752a8ea4bcdfb8788307137a84ea12fb30653eb2eac574e9e60d2032b0d?mediaType=png,,,
Donald For Sparks,20,10444,USD,Donald Abbott,Donald For Sparks,,18+,united states,US,https://www.snap.com/political-ads/asset/87283c00c29c322f9d69a13c81416cbc6a992e39da1d8321881d6fce6fe29956?mediaType=mp4,,,
Kimberly Bizon for US Congress,20,5283,USD,Kimberly Bizon for US Congress,CTE Kimberly Bizon,,18+,united states,US,https://www.snap.com/political-ads/asset/ef7e0c6d1f75fa1579561fc16e251e9b4443eca2720b53d6df8696f3b2b86f3b?mediaType=jpg,,,
PolitiCoolCLothing.Com,20,27079,USD,,PolitiCoolClothing.com,FEMALE,23+,united states,US,https://www.snap.com/political-ads/asset/f2c925ef5bccf4a70bcc79a9fcd3f93852981d64810867164484373c7841a52f?mediaType=png;https://www.snap.com/political-ads/asset/c1aebe8f22b42c693e7e8f43571ba5d6adfb87395f053fedd6407ab2feade619?mediaType=png;https://www.snap.com/political-ads/asset/0efd09fcfb79aa7158751cc139e2853f6b88295b688b0b37864b2c6b268e7a46?mediaType=png,"Online Shoppers,Dance & Electronic Music Fans,Concert & Festival Goers,Hipsters & Trendsetters,Political News Watchers",,
Gali Clothing,19,22409,USD,,gali clothing,FEMALE,35-,united states,US,https://www.snap.com/political-ads/asset/ed40be3c5134192b1ec7773452b2816a9870e9f2b5d96b23ee680a04e536a7a1?mediaType=jpeg,Political News Watchers,,
SADEARTH,15,16521,USD,,SADEARTH,,,united states,US,https://www.snap.com/political-ads/asset/5477ef2dfca093861e069bc9fd0a45e70b4fcd860ef7a08f061069be7ec107b9?mediaType=mp4,,,
Ryan For Arizona,15,13455,USD,Ryan For Arizona,Ryan For Arizona,,,united states,US,https://www.snap.com/political-ads/asset/cca6e4f7ff0e2bf8ffa9ec5c45138fdf8df6603ec75108ad9484c5565bfb7996?mediaType=jpeg,Political News Watchers,,
Wadher For Welfare,15,18164,GBP,,Niraj Wadher,,17-32,united kingdom,GB,https://www.snap.com/political-ads/asset/d5d0cae8b57dacd377cfa93b977c07cf2820efdab25757cd4a7c4f70047bdb6c?mediaType=jpeg,,Swansea,
Anthony Lo for The People's Needs,10,1609,USD,,Anthony Lo for Texas,,31+,united states,US,https://www.snap.com/political-ads/asset/775cf4479633855d6612901bbc710758737be7723c71cf93c55e693cf3fd5e21?mediaType=mp4,Apparel Shoppers,,
Boyer For Chester County,10,10039,USD,Kyle Boyer for State Senate District 19,Boyer For Chester County,,17+,united states,US,https://www.snap.com/political-ads/asset/7579c176e805b32ac0c8f2986dd5f975b6504e44013b23b1ae0fd20a4b42be4e?mediaType=jpeg,,,
RedRock Strategies,5,21796,USD,David Young,"Young for Iowa, Inc.",,18+,united states,"9500 W Flamingo Rd Ste 203,Las Vegas,89147,US",https://www.snap.com/political-ads/asset/a63680700ae1740d95b24f5e5f3b7ca86c95b5bfcbbe9012f5871c850dd50a68?mediaType=png,,,
Eric Holcomb for Indiana,0,11,USD,Governor Eric Holcomb,Eric Holcomb for Indiana,,18+,united states,"101 W. Ohio St., Suite 2200,Indianapolis,46204,US",https://www.snap.com/political-ads/asset/c1e9082701dff4fb0ed4588d5a7de40d8aeb44440bb98ff687f161035cd7137f?mediaType=png,,,
Priorities USA,0,257,USD,,Priorities USA,,,united states,US,https://www.snap.com/political-ads/asset/f255795052d2c81e8d944400bf445a061348143636f69493609f7f44e02bb57a?mediaType=mp4,,,
Sterlingetail LLC,0,68,USD,,Sterlingetail LLC,,24+,united states,"270 Twp RD 141,Van Buren,45889,US",https://www.snap.com/political-ads/asset/7b6fc0b4069b60cb04d82f94559c88efa7892e7620d4490a3a636b30a222c3a3?mediaType=png;https://www.snap.com/political-ads/asset/e0bcdf08cb409ae03d9c86726e2fc9c64025ce0f2ad44418a4b14f0582e34da7?mediaType=png;https://www.snap.com/political-ads/asset/b580a3377231d9f907db18aba5f396043e9ae7c978fd8a68244b74c6dc389cc7?mediaType=png,,,
Indiana Republican Party,0,70,USD,Congress of Counties,Indiana Republican Party,,18+,united states,"101 W. Ohio St., Suite 2200,Indianapolis,46204,US",https://www.snap.com/political-ads/asset/7bf4f478680bf4a919794a31a17171a9f82d5900689fd01dac2686eeac28b746?mediaType=png,,,
